2026-09-16 19:15:22 host worker09.cluster job 3310130 task 50 stage recon cpus 8
slice 50: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 3.83e-05 (2s)
  ite = 0, cost = 0.000032
  ite = 1, cost = 0.000028
  ite = 2, cost = 0.000022
  ite = 3, cost = 0.000020
  ite = 4, cost = 0.000018
  ite = 5, cost = 0.000017
  ite = 6, cost = 0.000016
  ite = 7, cost = 0.000015
  ite = 8, cost = 0.000015
  ite = 0, cost = 0.000015
  ite = 1, cost = 0.000015
  ite = 2, cost = 0.000014
  ite = 3, cost = 0.000014
  ite = 4, cost = 0.000013
  ite = 5, cost = 0.000013
  ite = 6, cost = 0.000013
  ite = 7, cost = 0.000013
  ite = 8, cost = 0.000013
