2026-09-16 18:45:29 host worker07.cluster job 3310086 task 19 stage recon cpus 8
slice 19: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 7.319e-05 (2s)
  ite = 0, cost = 0.000122
  ite = 1, cost = 0.000101
  ite = 2, cost = 0.000091
  ite = 3, cost = 0.000086
  ite = 4, cost = 0.000083
  ite = 5, cost = 0.000080
  ite = 6, cost = 0.000079
  ite = 7, cost = 0.000079
  ite = 8, cost = 0.000077
  ite = 0, cost = 0.000075
  ite = 1, cost = 0.000074
  ite = 2, cost = 0.000074
  ite = 3, cost = 0.000074
  ite = 4, cost = 0.000073
  ite = 5, cost = 0.000073
  ite = 6, cost = 0.000073
  ite = 7, cost = 0.000072
  ite = 8, cost = 0.000071
  ite = 0, cost = 0.000071
  ite = 1, cost = 0.000071
  ite = 2, cost = 0.000070
  ite = 3, cost = 0.000069
  ite = 4, cost = 0.000069
  ite = 5, cost = 0.000069
  ite = 6, cost = 0.000069
  ite = 7, cost = 0.000069
  ite = 8, cost = 0.000068
SAVED slice 19 lam0.02 (192, 192, 102) finite=True (392s)
  ite = 0, cost = 0.000546
