2026-09-16 18:54:53 host worker04.cluster job 3310100 task 29 stage recon cpus 8
slice 29: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 7.76e-05 (2s)
  ite = 0, cost = 0.000108
  ite = 1, cost = 0.000096
  ite = 2, cost = 0.000093
  ite = 3, cost = 0.000083
  ite = 4, cost = 0.000081
  ite = 5, cost = 0.000078
  ite = 6, cost = 0.000075
  ite = 7, cost = 0.000074
  ite = 8, cost = 0.000072
  ite = 0, cost = 0.000068
  ite = 1, cost = 0.000067
  ite = 2, cost = 0.000064
  ite = 3, cost = 0.000063
  ite = 4, cost = 0.000063
  ite = 5, cost = 0.000062
  ite = 6, cost = 0.000060
  ite = 7, cost = 0.000059
  ite = 8, cost = 0.000058
  ite = 0, cost = 0.000057
