2026-09-17 13:36:29 host worker04.cluster job 3318827 task 34 stage recon cpus 8
slice 34: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 6.8e-05 (2s)
  ite = 0, cost = 0.000788
  ite = 1, cost = 0.000752
  ite = 2, cost = 0.000730
  ite = 3, cost = 0.000595
  ite = 4, cost = 0.000538
  ite = 5, cost = 0.000529
  ite = 6, cost = 0.000504
  ite = 7, cost = 0.000499
  ite = 8, cost = 0.000480
  ite = 0, cost = 0.000423
  ite = 1, cost = 0.000404
  ite = 2, cost = 0.000353
  ite = 3, cost = 0.000337
  ite = 4, cost = 0.000314
  ite = 5, cost = 0.000304
  ite = 6, cost = 0.000285
  ite = 7, cost = 0.000281
  ite = 8, cost = 0.000273
  ite = 0, cost = 0.000263
  ite = 1, cost = 0.000257
  ite = 2, cost = 0.000220
  ite = 3, cost = 0.000218
  ite = 4, cost = 0.000206
  ite = 5, cost = 0.000186
  ite = 6, cost = 0.000166
