2026-09-17 14:23:33 host worker03.cluster job 3318993 task 10 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 10: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 9.324e-05 (2s)
  ite = 0, cost = 0.000103
  ite = 1, cost = 0.000095
  ite = 2, cost = 0.000088
  ite = 3, cost = 0.000077
  ite = 4, cost = 0.000074
  ite = 5, cost = 0.000070
  ite = 6, cost = 0.000067
  ite = 7, cost = 0.000066
  ite = 8, cost = 0.000063
  ite = 0, cost = 0.000060
  ite = 1, cost = 0.000060
  ite = 2, cost = 0.000057
  ite = 3, cost = 0.000056
  ite = 4, cost = 0.000056
  ite = 5, cost = 0.000055
  ite = 6, cost = 0.000054
  ite = 7, cost = 0.000053
  ite = 8, cost = 0.000052
  ite = 0, cost = 0.000051
  ite = 1, cost = 0.000051
  ite = 2, cost = 0.000050
  ite = 3, cost = 0.000049
  ite = 4, cost = 0.000049
  ite = 5, cost = 0.000049
  ite = 6, cost = 0.000049
  ite = 7, cost = 0.000048
  ite = 8, cost = 0.000048
SAVED slice 10 glam0.02 lam=1.52e-06 (192, 192, 102) finite=True (346s)
SLICE_DONE 10 347s
