2026-09-16 19:09:11 host worker02.cluster job 3310122 task 44 stage recon cpus 8
slice 44: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 5.47e-05 (2s)
  ite = 0, cost = 0.000064
  ite = 1, cost = 0.000062
  ite = 2, cost = 0.000049
  ite = 3, cost = 0.000044
  ite = 4, cost = 0.000039
  ite = 5, cost = 0.000037
  ite = 6, cost = 0.000035
  ite = 7, cost = 0.000033
  ite = 8, cost = 0.000031
  ite = 0, cost = 0.000030
  ite = 1, cost = 0.000030
  ite = 2, cost = 0.000029
  ite = 3, cost = 0.000029
  ite = 4, cost = 0.000028
  ite = 5, cost = 0.000026
  ite = 6, cost = 0.000025
  ite = 7, cost = 0.000025
  ite = 8, cost = 0.000025
  ite = 0, cost = 0.000025
  ite = 1, cost = 0.000025
  ite = 2, cost = 0.000025
  ite = 3, cost = 0.000024
  ite = 4, cost = 0.000024
  ite = 5, cost = 0.000024
  ite = 6, cost = 0.000024
  ite = 7, cost = 0.000024
  ite = 8, cost = 0.000024
SAVED slice 44 lam0.02 (192, 192, 102) finite=True (609s)
  ite = 0, cost = 0.000196
  ite = 1, cost = 0.000189
  ite = 2, cost = 0.000179
  ite = 3, cost = 0.000173
  ite = 4, cost = 0.000134
  ite = 5, cost = 0.000118
  ite = 6, cost = 0.000117
  ite = 7, cost = 0.000111
  ite = 8, cost = 0.000104
  ite = 0, cost = 0.000075
  ite = 1, cost = 0.000065
  ite = 2, cost = 0.000054
  ite = 3, cost = 0.000048
  ite = 4, cost = 0.000047
  ite = 5, cost = 0.000044
  ite = 6, cost = 0.000044
  ite = 7, cost = 0.000042
  ite = 8, cost = 0.000040
  ite = 0, cost = 0.000039
  ite = 1, cost = 0.000038
  ite = 2, cost = 0.000036
  ite = 3, cost = 0.000035
  ite = 4, cost = 0.000033
  ite = 5, cost = 0.000032
  ite = 6, cost = 0.000032
  ite = 7, cost = 0.000031
  ite = 8, cost = 0.000031
SAVED slice 44 lam0.08 (192, 192, 102) finite=True (455s)
  ite = 0, cost = 0.000464
  ite = 1, cost = 0.000427
  ite = 2, cost = 0.000420
