2026-09-16 18:48:22 host worker06.cluster job 3310090 task 21 stage recon cpus 8
slice 21: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 8.061e-05 (2s)
  ite = 0, cost = 0.000133
  ite = 1, cost = 0.000110
  ite = 2, cost = 0.000098
  ite = 3, cost = 0.000093
  ite = 4, cost = 0.000089
  ite = 5, cost = 0.000085
  ite = 6, cost = 0.000082
  ite = 7, cost = 0.000080
  ite = 8, cost = 0.000078
  ite = 0, cost = 0.000077
  ite = 1, cost = 0.000076
  ite = 2, cost = 0.000075
  ite = 3, cost = 0.000075
  ite = 4, cost = 0.000074
  ite = 5, cost = 0.000073
  ite = 6, cost = 0.000073
  ite = 7, cost = 0.000072
  ite = 8, cost = 0.000072
  ite = 0, cost = 0.000071
  ite = 1, cost = 0.000071
