2026-09-16 18:21:29 host worker04.cluster job 3308522 task 10 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 10: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 9.324e-05 (2s)
  ite = 0, cost = 0.000121
  ite = 1, cost = 0.000109
  ite = 2, cost = 0.000103
  ite = 3, cost = 0.000088
  ite = 4, cost = 0.000085
  ite = 5, cost = 0.000078
  ite = 6, cost = 0.000075
  ite = 7, cost = 0.000074
  ite = 8, cost = 0.000072
  ite = 0, cost = 0.000067
  ite = 1, cost = 0.000067
  ite = 2, cost = 0.000064
  ite = 3, cost = 0.000060
  ite = 4, cost = 0.000059
  ite = 5, cost = 0.000058
  ite = 6, cost = 0.000057
  ite = 7, cost = 0.000055
  ite = 8, cost = 0.000054
  ite = 0, cost = 0.000052
  ite = 1, cost = 0.000052
  ite = 2, cost = 0.000052
  ite = 3, cost = 0.000051
  ite = 4, cost = 0.000051
  ite = 5, cost = 0.000051
  ite = 6, cost = 0.000051
  ite = 7, cost = 0.000051
  ite = 8, cost = 0.000051
SAVED slice 10 lam0.02 (192, 192, 102) finite=True (407s)
  ite = 0, cost = 0.000360
  ite = 1, cost = 0.000339
  ite = 2, cost = 0.000276
  ite = 3, cost = 0.000237
  ite = 4, cost = 0.000214
  ite = 5, cost = 0.000189
  ite = 6, cost = 0.000182
  ite = 7, cost = 0.000177
  ite = 8, cost = 0.000169
  ite = 0, cost = 0.000160
  ite = 1, cost = 0.000149
  ite = 2, cost = 0.000134
  ite = 3, cost = 0.000127
  ite = 4, cost = 0.000118
  ite = 5, cost = 0.000112
  ite = 6, cost = 0.000108
  ite = 7, cost = 0.000104
  ite = 8, cost = 0.000099
  ite = 0, cost = 0.000087
  ite = 1, cost = 0.000083
  ite = 2, cost = 0.000082
  ite = 3, cost = 0.000081
  ite = 4, cost = 0.000079
  ite = 5, cost = 0.000079
  ite = 6, cost = 0.000077
  ite = 7, cost = 0.000075
