2026-09-16 18:54:52 host worker07.cluster job 3310102 task 31 stage recon cpus 8
slice 31: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 7.122e-05 (2s)
  ite = 0, cost = 0.000093
  ite = 1, cost = 0.000084
  ite = 2, cost = 0.000080
  ite = 3, cost = 0.000071
  ite = 4, cost = 0.000070
  ite = 5, cost = 0.000067
  ite = 6, cost = 0.000065
  ite = 7, cost = 0.000063
  ite = 8, cost = 0.000061
  ite = 0, cost = 0.000059
  ite = 1, cost = 0.000058
  ite = 2, cost = 0.000056
  ite = 3, cost = 0.000055
  ite = 4, cost = 0.000055
  ite = 5, cost = 0.000054
  ite = 6, cost = 0.000052
  ite = 7, cost = 0.000051
  ite = 8, cost = 0.000050
  ite = 0, cost = 0.000050
  ite = 1, cost = 0.000049
  ite = 2, cost = 0.000049
  ite = 3, cost = 0.000048
  ite = 4, cost = 0.000048
  ite = 5, cost = 0.000048
  ite = 6, cost = 0.000048
  ite = 7, cost = 0.000048
  ite = 8, cost = 0.000048
SAVED slice 31 lam0.02 (192, 192, 102) finite=True (411s)
  ite = 0, cost = 0.000433
  ite = 1, cost = 0.000433
  ite = 2, cost = 0.000405
  ite = 3, cost = 0.000334
  ite = 4, cost = 0.000302
  ite = 5, cost = 0.000266
  ite = 6, cost = 0.000227
  ite = 7, cost = 0.000197
  ite = 8, cost = 0.000181
  ite = 0, cost = 0.000130
  ite = 1, cost = 0.000128
  ite = 2, cost = 0.000121
  ite = 3, cost = 0.000102
  ite = 4, cost = 0.000100
  ite = 5, cost = 0.000098
  ite = 6, cost = 0.000094
  ite = 7, cost = 0.000091
  ite = 8, cost = 0.000088
  ite = 0, cost = 0.000078
  ite = 1, cost = 0.000077
  ite = 2, cost = 0.000074
  ite = 3, cost = 0.000073
  ite = 4, cost = 0.000072
  ite = 5, cost = 0.000070
  ite = 6, cost = 0.000068
  ite = 7, cost = 0.000066
  ite = 8, cost = 0.000065
SAVED slice 31 lam0.08 (192, 192, 102) finite=True (464s)
  ite = 0, cost = 0.001287
  ite = 1, cost = 0.001286
  ite = 2, cost = 0.001007
  ite = 3, cost = 0.000999
  ite = 4, cost = 0.000807
  ite = 5, cost = 0.000683
  ite = 6, cost = 0.000674
  ite = 7, cost = 0.000628
  ite = 8, cost = 0.000609
  ite = 0, cost = 0.000383
  ite = 1, cost = 0.000351
  ite = 2, cost = 0.000292
  ite = 3, cost = 0.000279
  ite = 4, cost = 0.000269
  ite = 5, cost = 0.000253
  ite = 6, cost = 0.000252
  ite = 7, cost = 0.000243
  ite = 8, cost = 0.000223
  ite = 0, cost = 0.000162
  ite = 1, cost = 0.000153
  ite = 2, cost = 0.000139
  ite = 3, cost = 0.000134
  ite = 4, cost = 0.000130
  ite = 5, cost = 0.000123
