2026-09-16 19:08:51 host worker06.cluster job 3310120 task 42 stage recon cpus 8
slice 42: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 5.198e-05 (2s)
  ite = 0, cost = 0.000062
  ite = 1, cost = 0.000057
  ite = 2, cost = 0.000046
  ite = 3, cost = 0.000042
  ite = 4, cost = 0.000039
  ite = 5, cost = 0.000037
  ite = 6, cost = 0.000035
  ite = 7, cost = 0.000033
  ite = 8, cost = 0.000033
  ite = 0, cost = 0.000031
  ite = 1, cost = 0.000030
  ite = 2, cost = 0.000029
  ite = 3, cost = 0.000028
  ite = 4, cost = 0.000028
  ite = 5, cost = 0.000027
  ite = 6, cost = 0.000027
  ite = 7, cost = 0.000027
  ite = 8, cost = 0.000027
  ite = 0, cost = 0.000027
  ite = 1, cost = 0.000027
  ite = 2, cost = 0.000026
  ite = 3, cost = 0.000026
  ite = 4, cost = 0.000026
  ite = 5, cost = 0.000026
  ite = 6, cost = 0.000026
  ite = 7, cost = 0.000026
  ite = 8, cost = 0.000026
SAVED slice 42 lam0.02 (192, 192, 102) finite=True (323s)
  ite = 0, cost = 0.000183
  ite = 1, cost = 0.000181
  ite = 2, cost = 0.000154
  ite = 3, cost = 0.000142
  ite = 4, cost = 0.000130
  ite = 5, cost = 0.000116
  ite = 6, cost = 0.000108
  ite = 7, cost = 0.000108
  ite = 8, cost = 0.000102
  ite = 0, cost = 0.000071
  ite = 1, cost = 0.000064
  ite = 2, cost = 0.000057
  ite = 3, cost = 0.000053
  ite = 4, cost = 0.000050
  ite = 5, cost = 0.000048
  ite = 6, cost = 0.000046
  ite = 7, cost = 0.000044
  ite = 8, cost = 0.000043
  ite = 0, cost = 0.000040
  ite = 1, cost = 0.000038
  ite = 2, cost = 0.000037
  ite = 3, cost = 0.000036
  ite = 4, cost = 0.000035
  ite = 5, cost = 0.000034
  ite = 6, cost = 0.000033
