2026-09-16 18:21:28 host worker09.cluster job 3308523 task 11 stage recon cpus 8
slice 11: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 8.597e-05 (2s)
  ite = 0, cost = 0.000119
  ite = 1, cost = 0.000112
  ite = 2, cost = 0.000104
  ite = 3, cost = 0.000089
  ite = 4, cost = 0.000086
  ite = 5, cost = 0.000081
  ite = 6, cost = 0.000077
  ite = 7, cost = 0.000076
  ite = 8, cost = 0.000073
  ite = 0, cost = 0.000069
  ite = 1, cost = 0.000068
  ite = 2, cost = 0.000065
  ite = 3, cost = 0.000065
  ite = 4, cost = 0.000065
  ite = 5, cost = 0.000063
  ite = 6, cost = 0.000062
  ite = 7, cost = 0.000061
  ite = 8, cost = 0.000060
  ite = 0, cost = 0.000058
  ite = 1, cost = 0.000057
  ite = 2, cost = 0.000056
  ite = 3, cost = 0.000055
  ite = 4, cost = 0.000055
  ite = 5, cost = 0.000055
  ite = 6, cost = 0.000054
  ite = 7, cost = 0.000054
  ite = 8, cost = 0.000054
SAVED slice 11 lam0.02 (192, 192, 102) finite=True (379s)
  ite = 0, cost = 0.000349
  ite = 1, cost = 0.000316
  ite = 2, cost = 0.000248
  ite = 3, cost = 0.000215
  ite = 4, cost = 0.000196
  ite = 5, cost = 0.000173
  ite = 6, cost = 0.000162
  ite = 7, cost = 0.000157
  ite = 8, cost = 0.000150
  ite = 0, cost = 0.000147
  ite = 1, cost = 0.000138
  ite = 2, cost = 0.000124
  ite = 3, cost = 0.000117
  ite = 4, cost = 0.000110
  ite = 5, cost = 0.000105
  ite = 6, cost = 0.000102
  ite = 7, cost = 0.000099
  ite = 8, cost = 0.000099
  ite = 0, cost = 0.000085
  ite = 1, cost = 0.000081
  ite = 2, cost = 0.000080
  ite = 3, cost = 0.000079
  ite = 4, cost = 0.000078
  ite = 5, cost = 0.000077
  ite = 6, cost = 0.000076
  ite = 7, cost = 0.000075
  ite = 8, cost = 0.000075
SAVED slice 11 lam0.08 (192, 192, 102) finite=True (453s)
  ite = 0, cost = 0.001003
  ite = 1, cost = 0.000977
