2026-09-16 18:43:22 host worker02.cluster job 3310079 task 12 stage recon cpus 8
slice 12: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 8.427e-05 (2s)
  ite = 0, cost = 0.000125
  ite = 1, cost = 0.000102
  ite = 2, cost = 0.000088
  ite = 3, cost = 0.000084
  ite = 4, cost = 0.000080
  ite = 5, cost = 0.000075
  ite = 6, cost = 0.000072
  ite = 7, cost = 0.000070
  ite = 8, cost = 0.000069
  ite = 0, cost = 0.000066
  ite = 1, cost = 0.000066
  ite = 2, cost = 0.000065
  ite = 3, cost = 0.000065
  ite = 4, cost = 0.000064
  ite = 5, cost = 0.000064
  ite = 6, cost = 0.000063
  ite = 7, cost = 0.000062
  ite = 8, cost = 0.000062
  ite = 0, cost = 0.000061
  ite = 1, cost = 0.000061
  ite = 2, cost = 0.000060
  ite = 3, cost = 0.000059
  ite = 4, cost = 0.000059
  ite = 5, cost = 0.000059
  ite = 6, cost = 0.000059
  ite = 7, cost = 0.000058
  ite = 8, cost = 0.000058
SAVED slice 12 lam0.02 (192, 192, 102) finite=True (369s)
  ite = 0, cost = 0.000363
  ite = 1, cost = 0.000330
  ite = 2, cost = 0.000256
  ite = 3, cost = 0.000219
  ite = 4, cost = 0.000198
  ite = 5, cost = 0.000175
  ite = 6, cost = 0.000163
  ite = 7, cost = 0.000156
  ite = 8, cost = 0.000150
  ite = 0, cost = 0.000147
  ite = 1, cost = 0.000138
  ite = 2, cost = 0.000125
