2026-09-16 19:13:22 host worker01.cluster job 3310128 task 48 stage recon cpus 8
slice 48: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 4.358e-05 (2s)
  ite = 0, cost = 0.000044
  ite = 1, cost = 0.000041
  ite = 2, cost = 0.000031
  ite = 3, cost = 0.000027
  ite = 4, cost = 0.000024
  ite = 5, cost = 0.000023
  ite = 6, cost = 0.000021
  ite = 7, cost = 0.000021
  ite = 8, cost = 0.000021
  ite = 0, cost = 0.000018
  ite = 1, cost = 0.000018
  ite = 2, cost = 0.000018
  ite = 3, cost = 0.000017
  ite = 4, cost = 0.000016
  ite = 5, cost = 0.000016
  ite = 6, cost = 0.000016
  ite = 7, cost = 0.000016
  ite = 8, cost = 0.000015
  ite = 0, cost = 0.000015
  ite = 1, cost = 0.000015
  ite = 2, cost = 0.000015
  ite = 3, cost = 0.000015
  ite = 4, cost = 0.000015
  ite = 5, cost = 0.000015
  ite = 6, cost = 0.000015
  ite = 7, cost = 0.000014
  ite = 8, cost = 0.000014
SAVED slice 48 lam0.02 (192, 192, 102) finite=True (340s)
  ite = 0, cost = 0.000133
  ite = 1, cost = 0.000126
