2026-09-17 13:27:40 host worker09.cluster job 3318789 task 6 stage recon cpus 8
slice 06: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001114 (2s)
  ite = 0, cost = 0.000770
  ite = 1, cost = 0.000616
  ite = 2, cost = 0.000489
  ite = 3, cost = 0.000445
  ite = 4, cost = 0.000389
  ite = 5, cost = 0.000361
  ite = 6, cost = 0.000341
  ite = 7, cost = 0.000322
  ite = 8, cost = 0.000298
  ite = 0, cost = 0.000277
  ite = 1, cost = 0.000262
  ite = 2, cost = 0.000215
  ite = 3, cost = 0.000208
