2026-09-16 19:16:29 host worker07.cluster job 3310131 task 51 stage recon cpus 8
slice 51: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 3.15e-05 (2s)
  ite = 0, cost = 0.000025
  ite = 1, cost = 0.000022
  ite = 2, cost = 0.000020
  ite = 3, cost = 0.000018
  ite = 4, cost = 0.000015
  ite = 5, cost = 0.000014
  ite = 6, cost = 0.000014
  ite = 7, cost = 0.000013
  ite = 8, cost = 0.000013
  ite = 0, cost = 0.000013
  ite = 1, cost = 0.000012
  ite = 2, cost = 0.000012
  ite = 3, cost = 0.000012
  ite = 4, cost = 0.000012
  ite = 5, cost = 0.000011
  ite = 6, cost = 0.000011
  ite = 7, cost = 0.000011
  ite = 8, cost = 0.000011
  ite = 0, cost = 0.000011
  ite = 1, cost = 0.000011
  ite = 2, cost = 0.000011
  ite = 3, cost = 0.000011
  ite = 4, cost = 0.000010
  ite = 5, cost = 0.000010
  ite = 6, cost = 0.000010
  ite = 7, cost = 0.000010
  ite = 8, cost = 0.000010
SAVED slice 51 lam0.02 (192, 192, 102) finite=True (330s)
  ite = 0, cost = 0.000075
  ite = 1, cost = 0.000065
  ite = 2, cost = 0.000054
  ite = 3, cost = 0.000049
  ite = 4, cost = 0.000045
  ite = 5, cost = 0.000041
  ite = 6, cost = 0.000040
  ite = 7, cost = 0.000039
  ite = 8, cost = 0.000036
  ite = 0, cost = 0.000026
  ite = 1, cost = 0.000023
  ite = 2, cost = 0.000022
  ite = 3, cost = 0.000020
  ite = 4, cost = 0.000019
  ite = 5, cost = 0.000018
  ite = 6, cost = 0.000017
  ite = 7, cost = 0.000017
  ite = 8, cost = 0.000017
  ite = 0, cost = 0.000015
  ite = 1, cost = 0.000015
  ite = 2, cost = 0.000014
  ite = 3, cost = 0.000014
  ite = 4, cost = 0.000014
  ite = 5, cost = 0.000013
  ite = 6, cost = 0.000013
  ite = 7, cost = 0.000013
  ite = 8, cost = 0.000013
SAVED slice 51 lam0.08 (192, 192, 102) finite=True (355s)
  ite = 0, cost = 0.000304
  ite = 1, cost = 0.000304
  ite = 2, cost = 0.000217
  ite = 3, cost = 0.000160
  ite = 4, cost = 0.000144
  ite = 5, cost = 0.000132
  ite = 6, cost = 0.000128
  ite = 7, cost = 0.000123
  ite = 8, cost = 0.000113
  ite = 0, cost = 0.000080
  ite = 1, cost = 0.000071
  ite = 2, cost = 0.000069
  ite = 3, cost = 0.000068
  ite = 4, cost = 0.000058
  ite = 5, cost = 0.000051
  ite = 6, cost = 0.000047
  ite = 7, cost = 0.000045
  ite = 8, cost = 0.000042
  ite = 0, cost = 0.000032
  ite = 1, cost = 0.000029
  ite = 2, cost = 0.000029
  ite = 3, cost = 0.000028
  ite = 4, cost = 0.000026
  ite = 5, cost = 0.000026
  ite = 6, cost = 0.000025
