2026-09-17 13:36:29 host worker02.cluster job 3318826 task 33 stage recon cpus 8
slice 33: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 6.146e-05 (2s)
  ite = 0, cost = 0.000773
  ite = 1, cost = 0.000755
  ite = 2, cost = 0.000738
  ite = 3, cost = 0.000730
  ite = 4, cost = 0.000677
  ite = 5, cost = 0.000606
  ite = 6, cost = 0.000546
  ite = 7, cost = 0.000491
  ite = 8, cost = 0.000462
  ite = 0, cost = 0.000435
  ite = 1, cost = 0.000416
  ite = 2, cost = 0.000343
  ite = 3, cost = 0.000323
  ite = 4, cost = 0.000309
  ite = 5, cost = 0.000308
  ite = 6, cost = 0.000290
  ite = 7, cost = 0.000280
  ite = 8, cost = 0.000268
  ite = 0, cost = 0.000263
  ite = 1, cost = 0.000260
  ite = 2, cost = 0.000220
  ite = 3, cost = 0.000216
  ite = 4, cost = 0.000204
  ite = 5, cost = 0.000186
  ite = 6, cost = 0.000167
  ite = 7, cost = 0.000157
  ite = 8, cost = 0.000148
SAVED slice 33 glam0.25 lam=1.89e-05 (192, 192, 102) finite=True (489s)
SLICE_DONE 33 491s
