2026-09-17 13:44:59 host worker02.cluster job 3318910 task 50 stage recon cpus 8
slice 50: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 3.83e-05 (2s)
  ite = 0, cost = 0.000819
  ite = 1, cost = 0.000792
  ite = 2, cost = 0.000548
  ite = 3, cost = 0.000500
  ite = 4, cost = 0.000439
  ite = 5, cost = 0.000431
  ite = 6, cost = 0.000382
  ite = 7, cost = 0.000336
  ite = 8, cost = 0.000301
  ite = 0, cost = 0.000248
  ite = 1, cost = 0.000238
  ite = 2, cost = 0.000195
  ite = 3, cost = 0.000185
  ite = 4, cost = 0.000170
  ite = 5, cost = 0.000166
  ite = 6, cost = 0.000152
  ite = 7, cost = 0.000148
  ite = 8, cost = 0.000144
  ite = 0, cost = 0.000088
  ite = 1, cost = 0.000083
  ite = 2, cost = 0.000075
  ite = 3, cost = 0.000073
  ite = 4, cost = 0.000069
  ite = 5, cost = 0.000063
  ite = 6, cost = 0.000060
  ite = 7, cost = 0.000058
  ite = 8, cost = 0.000055
SAVED slice 50 glam0.25 lam=1.89e-05 (192, 192, 102) finite=True (490s)
SLICE_DONE 50 492s
