method,family,K,spf,nframes,SSIM,PSNR,HaarPSI,NRMSE,curve_aorta,curve_cortex,curve_medulla,aorta_peak,aorta_fwhm,aorta_ttp
K5/spf2,GRASP-2d,5,2,860,0.9529298495414645,38.25725952969041,0.8402371575492759,0.01691142081006885,0.6919521689414978,0.5392716526985168,0.526289701461792,0.14399601519107819,54.27968215942383,31.05423927307129
K12/spf2,GRASP-2d,12,2,860,0.9433052577944689,34.698226474052255,0.8280812845846941,0.01926589362474895,0.2868834137916565,0.1768745481967926,0.15169717371463776,0.7977471947669983,9.39455795288086,27.400800704956055
K24/spf2,GRASP-2d,24,2,860,0.8369217669201452,28.643173079157986,0.6294428098860175,0.038172585857209076,0.3714001774787903,0.23195956647396088,0.1834048181772232,0.5586967468261719,9.916481018066406,27.922719955444336
K5/spf5,GRASP-2d,5,5,344,0.9823281896668811,40.9731083914291,0.9179399732586949,0.010853867592062628,0.2954382002353668,0.1723739057779312,0.16576479375362396,0.7068285942077637,9.916481018066406,28.96656036376953
K12/spf5,GRASP-2d,12,5,344,0.9834697092341822,41.837094861407614,0.9098120835977931,0.008884034027497089,0.17377986013889313,0.049726393073797226,0.04373354837298393,0.7909039258956909,9.39455795288086,27.922719955444336
K24/spf5,GRASP-2d,24,5,344,0.9100110610557157,32.76689446249674,0.7127581822664238,0.024262103893750803,0.3462207615375519,0.17151473462581635,0.10832272469997406,0.5709770917892456,10.43840217590332,27.922719955444336
K5/spf10,GRASP-2d,5,10,172,0.988674109931602,42.797652738038884,0.943315960120323,0.008453360881228649,0.23984640836715698,0.11682157963514328,0.11314728856086731,0.7180296778678894,10.438400268554688,30.532320022583008
K12/spf10,GRASP-2d,12,10,172,0.9890954875668814,44.11635413280753,0.9373466779672822,0.007001241745540959,0.11818630993366241,0.03904567286372185,0.03454452380537987,0.7253311276435852,10.43840217590332,27.400800704956055
K24/spf10,GRASP-2d,24,10,172,0.9560926948175874,36.786326541457065,0.8034190710547359,0.015388772646939858,0.21859782934188843,0.08585518598556519,0.0345701202750206,0.6118732690811157,10.960321426391602,27.400800704956055
K5/spf20,GRASP-2d,5,20,86,0.9919125463726909,44.36056266829025,0.957979271924773,0.007040288254651133,0.20579847693443298,0.08210460096597672,0.08309439569711685,0.7525206208229065,10.960319519042969,30.010400772094727
K12/spf20,GRASP-2d,12,20,86,0.9943873197879902,47.97579345037771,0.9678132894427277,0.0048490272195966435,0.08739075064659119,0.04161575809121132,0.02797868102788925,0.7110145092010498,11.482240676879883,26.35696029663086
K24/spf20,GRASP-2d,24,20,86,0.9853853808585987,43.82965732729712,0.9374371437832366,0.0074796604681597635,0.14387176930904388,0.06614457070827484,0.024625981226563454,0.6144629120826721,11.482240676879883,27.922719955444336
