frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
80,42.01,0.0303,0.9114,30.3709,0.6959,0.0222,0.9265,33.0639,0.7297,0.0205,0.9304,33.7652,0.7438,0.0188,0.9324,34.4969,0.7604,0.0226,0.9195,32.9159,0.6762,0.0097,0.9858,40.2286,0.8989,0.0251,0.8688,32.0102,0.5964
81,42.54,0.0289,0.9143,30.7863,0.7016,0.0206,0.9290,33.7320,0.7356,0.0199,0.9321,34.0205,0.7489,0.0184,0.9331,34.6939,0.7633,0.0225,0.9203,32.9556,0.6814,0.0087,0.9865,41.2041,0.9065,0.0242,0.8748,32.3354,0.6094
82,43.06,0.0281,0.9154,31.0144,0.7046,0.0197,0.9301,34.1149,0.7396,0.0197,0.9328,34.1176,0.7519,0.0182,0.9332,34.7876,0.7642,0.0224,0.9206,32.9877,0.6839,0.0107,0.9845,39.4089,0.8977,0.0235,0.8792,32.5952,0.6141
83,43.58,0.0279,0.9157,31.0965,0.7055,0.0195,0.9299,34.1914,0.7400,0.0196,0.9331,34.1473,0.7533,0.0182,0.9331,34.8080,0.7638,0.0222,0.9211,33.0699,0.6856,0.0094,0.9863,40.5035,0.9016,0.0235,0.8793,32.5962,0.6148
84,44.10,0.0278,0.9159,31.1178,0.7062,0.0196,0.9290,34.1332,0.7389,0.0196,0.9333,34.1676,0.7537,0.0182,0.9328,34.7925,0.7629,0.0220,0.9216,33.1385,0.6867,0.0078,0.9892,42.1344,0.9228,0.0235,0.8791,32.5695,0.6142
85,44.62,0.0278,0.9160,31.1308,0.7068,0.0197,0.9285,34.0960,0.7381,0.0195,0.9334,34.2131,0.7540,0.0182,0.9327,34.7893,0.7625,0.0220,0.9218,33.1632,0.6871,0.0109,0.9830,39.2624,0.8889,0.0234,0.8788,32.6159,0.6144
86,45.15,0.0277,0.9162,31.1439,0.7075,0.0198,0.9284,34.0846,0.7380,0.0193,0.9335,34.2827,0.7545,0.0182,0.9326,34.7987,0.7624,0.0220,0.9219,33.1656,0.6869,0.0079,0.9891,42.0758,0.9214,0.0236,0.8787,32.5577,0.6185
87,45.67,0.0277,0.9163,31.1574,0.7081,0.0198,0.9285,34.0854,0.7381,0.0191,0.9337,34.3653,0.7550,0.0182,0.9326,34.8128,0.7625,0.0220,0.9219,33.1556,0.6866,0.0085,0.9895,41.4173,0.9260,0.0237,0.8751,32.5083,0.6158
88,46.19,0.0276,0.9165,31.1713,0.7087,0.0198,0.9286,34.0868,0.7384,0.0189,0.9339,34.4479,0.7556,0.0181,0.9325,34.8245,0.7626,0.0220,0.9218,33.1385,0.6862,0.0101,0.9836,39.8771,0.8965,0.0234,0.8788,32.5992,0.6182
89,46.71,0.0276,0.9166,31.1856,0.7094,0.0198,0.9287,34.0829,0.7385,0.0188,0.9340,34.5219,0.7560,0.0181,0.9325,34.8307,0.7626,0.0221,0.9217,33.1182,0.6859,0.0071,0.9908,42.9563,0.9332,0.0235,0.8791,32.5654,0.6249
90,47.23,0.0275,0.9168,31.2003,0.7101,0.0198,0.9286,34.0726,0.7385,0.0187,0.9341,34.5831,0.7564,0.0181,0.9324,34.8313,0.7625,0.0221,0.9217,33.0963,0.6856,0.0102,0.9864,39.8424,0.9074,0.0235,0.8776,32.5942,0.6174
91,47.76,0.0275,0.9169,31.2153,0.7107,0.0198,0.9285,34.0577,0.7384,0.0186,0.9342,34.6305,0.7567,0.0181,0.9324,34.8277,0.7624,0.0222,0.9216,33.0744,0.6853,0.0084,0.9867,41.4957,0.9161,0.0234,0.8797,32.6074,0.6201
92,48.28,0.0274,0.9171,31.2307,0.7114,0.0199,0.9284,34.0407,0.7382,0.0185,0.9343,34.6650,0.7570,0.0182,0.9323,34.8213,0.7623,0.0223,0.9215,33.0529,0.6851,0.0081,0.9901,41.8752,0.9265,0.0238,0.8761,32.4761,0.6120
93,48.80,0.0274,0.9172,31.2465,0.7121,0.0199,0.9282,34.0246,0.7380,0.0184,0.9344,34.6883,0.7572,0.0182,0.9322,34.8136,0.7622,0.0223,0.9214,33.0323,0.6849,0.0108,0.9839,39.3077,0.8947,0.0237,0.8740,32.4924,0.6062
94,49.32,0.0273,0.9173,31.2627,0.7127,0.0199,0.9280,34.0111,0.7378,0.0184,0.9344,34.7025,0.7574,0.0182,0.9321,34.8057,0.7622,0.0224,0.9212,33.0131,0.6847,0.0068,0.9898,43.3797,0.9305,0.0236,0.8768,32.5303,0.6214
95,49.84,0.0273,0.9175,31.2792,0.7134,0.0199,0.9279,34.0012,0.7377,0.0184,0.9344,34.7097,0.7575,0.0182,0.9320,34.7982,0.7622,0.0224,0.9211,32.9949,0.6844,0.0099,0.9866,40.0802,0.9026,0.0238,0.8744,32.4525,0.6167
96,50.37,0.0272,0.9176,31.2960,0.7140,0.0200,0.9278,33.9947,0.7376,0.0184,0.9344,34.7119,0.7575,0.0182,0.9319,34.7912,0.7621,0.0224,0.9209,32.9772,0.6842,0.0099,0.9850,40.1005,0.9038,0.0236,0.8754,32.5476,0.6115
97,50.89,0.0272,0.9178,31.3133,0.7147,0.0200,0.9278,33.9908,0.7375,0.0184,0.9344,34.7107,0.7575,0.0182,0.9319,34.7848,0.7620,0.0225,0.9207,32.9604,0.6840,0.0067,0.9910,43.5251,0.9274,0.0237,0.8761,32.5223,0.6159
98,51.41,0.0271,0.9179,31.3309,0.7153,0.0200,0.9278,33.9885,0.7375,0.0184,0.9343,34.7077,0.7574,0.0182,0.9318,34.7788,0.7620,0.0225,0.9205,32.9431,0.6838,0.0111,0.9827,39.0739,0.8796,0.0237,0.8745,32.4881,0.6084
99,51.93,0.0271,0.9181,31.3488,0.7159,0.0200,0.9278,33.9868,0.7374,0.0184,0.9343,34.7039,0.7573,0.0183,0.9317,34.7732,0.7619,0.0226,0.9203,32.9260,0.6835,0.0078,0.9890,42.1857,0.9277,0.0237,0.8743,32.4991,0.6055
100,52.45,0.0270,0.9182,31.3671,0.7165,0.0200,0.9278,33.9852,0.7373,0.0184,0.9343,34.7002,0.7572,0.0183,0.9317,34.7678,0.7618,0.0226,0.9200,32.9085,0.6832,0.0081,0.9890,41.8069,0.9047,0.0237,0.8759,32.5003,0.6125
101,52.97,0.0270,0.9184,31.3857,0.7171,0.0200,0.9277,33.9835,0.7371,0.0184,0.9342,34.6974,0.7571,0.0183,0.9316,34.7628,0.7616,0.0227,0.9198,32.8905,0.6829,0.0107,0.9825,39.3838,0.8792,0.0238,0.8739,32.4503,0.6097
102,53.50,0.0269,0.9185,31.4047,0.7178,0.0200,0.9277,33.9816,0.7370,0.0184,0.9342,34.6958,0.7570,0.0183,0.9316,34.7581,0.7615,0.0227,0.9196,32.8719,0.6826,0.0061,0.9921,44.2232,0.9424,0.0237,0.8757,32.4952,0.6164
103,54.02,0.0268,0.9187,31.4240,0.7184,0.0200,0.9277,33.9793,0.7368,0.0184,0.9342,34.6960,0.7570,0.0183,0.9315,34.7539,0.7613,0.0228,0.9194,32.8532,0.6824,0.0098,0.9845,40.1731,0.8753,0.0235,0.8782,32.5750,0.6207
104,54.54,0.0268,0.9188,31.4437,0.7189,0.0200,0.9276,33.9766,0.7365,0.0184,0.9342,34.6983,0.7569,0.0183,0.9315,34.7501,0.7612,0.0228,0.9191,32.8335,0.6821,0.0092,0.9855,40.7571,0.8928,0.0240,0.8745,32.3918,0.6044
105,55.06,0.0267,0.9190,31.4636,0.7195,0.0200,0.9275,33.9733,0.7363,0.0184,0.9341,34.7026,0.7569,0.0183,0.9314,34.7469,0.7610,0.0229,0.9189,32.8147,0.6817,0.0074,0.9910,42.6452,0.9289,0.0241,0.8717,32.3573,0.6011
106,55.58,0.0267,0.9191,31.4839,0.7201,0.0200,0.9274,33.9694,0.7361,0.0184,0.9341,34.7087,0.7569,0.0183,0.9314,34.7439,0.7609,0.0229,0.9187,32.7958,0.6814,0.0087,0.9868,41.2038,0.8884,0.0240,0.8723,32.4015,0.5998
107,56.11,0.0266,0.9192,31.5046,0.7207,0.0200,0.9274,33.9650,0.7359,0.0184,0.9342,34.7161,0.7569,0.0183,0.9314,34.7413,0.7607,0.0230,0.9185,32.7765,0.6811,0.0083,0.9879,41.6002,0.9018,0.0242,0.8703,32.3415,0.6029
108,56.63,0.0265,0.9194,31.5256,0.7213,0.0200,0.9273,33.9599,0.7358,0.0184,0.9342,34.7241,0.7568,0.0183,0.9313,34.7386,0.7606,0.0230,0.9183,32.7586,0.6807,0.0104,0.9852,39.6339,0.8907,0.0240,0.8731,32.4088,0.6087
109,57.15,0.0265,0.9195,31.5468,0.7219,0.0201,0.9273,33.9544,0.7357,0.0183,0.9342,34.7317,0.7568,0.0183,0.9313,34.7357,0.7604,0.0231,0.9182,32.7417,0.6803,0.0087,0.9873,41.2372,0.8942,0.0240,0.8745,32.4062,0.6084
110,57.67,0.0264,0.9197,31.5684,0.7225,0.0201,0.9273,33.9484,0.7356,0.0183,0.9342,34.7382,0.7568,0.0183,0.9312,34.7324,0.7603,0.0231,0.9180,32.7255,0.6799,0.0104,0.9864,39.6860,0.8951,0.0239,0.8731,32.4158,0.6060
111,58.19,0.0263,0.9198,31.5903,0.7232,0.0201,0.9272,33.9422,0.7356,0.0183,0.9342,34.7430,0.7568,0.0183,0.9312,34.7286,0.7602,0.0231,0.9179,32.7115,0.6795,0.0110,0.9824,39.1803,0.8714,0.0238,0.8747,32.4847,0.6132
112,58.72,0.0263,0.9200,31.6126,0.7238,0.0201,0.9272,33.9360,0.7355,0.0183,0.9342,34.7457,0.7569,0.0184,0.9311,34.7242,0.7601,0.0232,0.9178,32.6989,0.6792,0.0087,0.9869,41.2124,0.8943,0.0239,0.8750,32.4148,0.6075
113,59.24,0.0262,0.9201,31.6351,0.7245,0.0201,0.9272,33.9300,0.7354,0.0183,0.9341,34.7464,0.7569,0.0184,0.9311,34.7192,0.7600,0.0232,0.9177,32.6877,0.6788,0.0133,0.9831,37.5088,0.8853,0.0243,0.8708,32.2999,0.5981
114,59.76,0.0261,0.9202,31.6580,0.7251,0.0201,0.9271,33.9244,0.7353,0.0183,0.9341,34.7451,0.7569,0.0184,0.9310,34.7135,0.7599,0.0232,0.9176,32.6780,0.6784,0.0085,0.9870,41.3796,0.8872,0.0243,0.8715,32.2964,0.6085
115,60.28,0.0261,0.9204,31.6811,0.7258,0.0201,0.9271,33.9192,0.7352,0.0183,0.9341,34.7423,0.7569,0.0184,0.9310,34.7074,0.7598,0.0233,0.9175,32.6697,0.6781,0.0080,0.9873,41.8983,0.9037,0.0240,0.8744,32.3846,0.6163
116,60.80,0.0260,0.9205,31.7045,0.7264,0.0202,0.9270,33.9143,0.7350,0.0183,0.9341,34.7382,0.7568,0.0184,0.9309,34.7008,0.7597,0.0233,0.9175,32.6624,0.6777,0.0160,0.9778,35.9075,0.8655,0.0241,0.8743,32.3766,0.6081
117,61.33,0.0259,0.9207,31.7283,0.7270,0.0202,0.9269,33.9095,0.7349,0.0183,0.9340,34.7334,0.7568,0.0184,0.9309,34.6938,0.7595,0.0233,0.9174,32.6563,0.6774,0.0076,0.9890,42.3392,0.8986,0.0241,0.8757,32.3523,0.6095
118,61.85,0.0258,0.9208,31.7523,0.7276,0.0202,0.9269,33.9047,0.7347,0.0183,0.9340,34.7283,0.7567,0.0184,0.9308,34.6867,0.7593,0.0233,0.9174,32.6502,0.6771,0.0073,0.9877,42.7100,0.9139,0.0240,0.8748,32.3883,0.6090
119,62.37,0.0258,0.9209,31.7766,0.7282,0.0202,0.9268,33.8996,0.7346,0.0184,0.9339,34.7233,0.7566,0.0185,0.9308,34.6794,0.7590,0.0233,0.9173,32.6451,0.6768,0.0115,0.9841,38.7846,0.8916,0.0240,0.8745,32.4076,0.6082
120,62.89,0.0257,0.9211,31.8012,0.7287,0.0202,0.9267,33.8941,0.7344,0.0184,0.9339,34.7187,0.7565,0.0185,0.9307,34.6721,0.7588,0.0233,0.9173,32.6400,0.6765,0.0075,0.9894,42.4942,0.9080,0.0239,0.8762,32.4194,0.6136
121,63.41,0.0256,0.9212,31.8260,0.7293,0.0202,0.9266,33.8881,0.7343,0.0184,0.9339,34.7145,0.7565,0.0185,0.9307,34.6650,0.7585,0.0233,0.9173,32.6351,0.6762,0.0087,0.9854,41.2233,0.9071,0.0238,0.8766,32.4578,0.6066
122,63.94,0.0256,0.9214,31.8512,0.7299,0.0202,0.9265,33.8816,0.7342,0.0184,0.9338,34.7110,0.7564,0.0185,0.9306,34.6581,0.7582,0.0234,0.9172,32.6302,0.6759,0.0068,0.9901,43.4091,0.9241,0.0240,0.8769,32.3982,0.6153
123,64.46,0.0255,0.9215,31.8766,0.7305,0.0202,0.9264,33.8744,0.7340,0.0184,0.9338,34.7078,0.7564,0.0185,0.9306,34.6516,0.7579,0.0234,0.9172,32.6249,0.6757,0.0070,0.9900,43.1383,0.9181,0.0240,0.8758,32.4086,0.6127
124,64.98,0.0254,0.9216,31.9023,0.7311,0.0203,0.9263,33.8664,0.7339,0.0184,0.9338,34.7049,0.7563,0.0185,0.9305,34.6455,0.7576,0.0234,0.9171,32.6196,0.6754,0.0109,0.9820,39.2237,0.8933,0.0239,0.8759,32.4418,0.6036
125,65.50,0.0253,0.9218,31.9283,0.7316,0.0203,0.9262,33.8575,0.7337,0.0184,0.9337,34.7021,0.7563,0.0185,0.9304,34.6400,0.7572,0.0234,0.9171,32.6142,0.6752,0.0062,0.9911,44.1116,0.9287,0.0242,0.8744,32.3328,0.6035
126,66.02,0.0253,0.9219,31.9545,0.7322,0.0203,0.9261,33.8478,0.7336,0.0184,0.9337,34.6989,0.7562,0.0185,0.9304,34.6352,0.7569,0.0234,0.9170,32.6082,0.6749,0.0067,0.9901,43.5189,0.9228,0.0242,0.8715,32.3195,0.5971
127,66.54,0.0252,0.9220,31.9809,0.7328,0.0203,0.9260,33.8376,0.7334,0.0184,0.9337,34.6953,0.7562,0.0186,0.9303,34.6310,0.7567,0.0234,0.9169,32.6021,0.6746,0.0085,0.9864,41.4509,0.9134,0.0242,0.8733,32.3302,0.6037
128,67.07,0.0251,0.9222,32.0077,0.7333,0.0204,0.9259,33.8275,0.7333,0.0184,0.9336,34.6911,0.7562,0.0186,0.9303,34.6274,0.7564,0.0235,0.9169,32.5954,0.6744,0.0081,0.9882,41.7876,0.9048,0.0239,0.8751,32.4263,0.6131
129,67.59,0.0250,0.9223,32.0346,0.7339,0.0204,0.9259,33.8181,0.7332,0.0184,0.9336,34.6861,0.7562,0.0186,0.9302,34.6243,0.7561,0.0235,0.9168,32.5887,0.6741,0.0081,0.9880,41.7851,0.9154,0.0239,0.8751,32.4249,0.6059
130,68.11,0.0249,0.9224,32.0619,0.7344,0.0204,0.9258,33.8104,0.7331,0.0184,0.9335,34.6804,0.7562,0.0186,0.9302,34.6215,0.7560,0.0235,0.9167,32.5808,0.6739,0.0067,0.9898,43.5255,0.9272,0.0241,0.8751,32.3739,0.6090
131,68.63,0.0249,0.9226,32.0893,0.7350,0.0204,0.9258,33.8050,0.7331,0.0185,0.9335,34.6740,0.7562,0.0186,0.9301,34.6190,0.7558,0.0235,0.9166,32.5731,0.6736,0.0093,0.9851,40.5962,0.8901,0.0238,0.8755,32.4511,0.6040
132,69.15,0.0248,0.9227,32.1170,0.7355,0.0204,0.9258,33.8022,0.7331,0.0185,0.9334,34.6669,0.7562,0.0186,0.9301,34.6166,0.7556,0.0235,0.9165,32.5644,0.6734,0.0076,0.9888,42.4375,0.9253,0.0241,0.8736,32.3519,0.6033
133,69.68,0.0247,0.9228,32.1450,0.7360,0.0204,0.9258,33.8022,0.7331,0.0185,0.9334,34.6590,0.7562,0.0186,0.9300,34.6141,0.7555,0.0236,0.9164,32.5554,0.6731,0.0063,0.9915,43.9550,0.9269,0.0242,0.8734,32.3321,0.5986
134,70.20,0.0246,0.9230,32.1731,0.7365,0.0204,0.9259,33.8043,0.7330,0.0185,0.9333,34.6506,0.7561,0.0186,0.9300,34.6116,0.7554,0.0236,0.9163,32.5453,0.6729,0.0091,0.9845,40.8313,0.8925,0.0241,0.8738,32.3600,0.6014
135,70.72,0.0245,0.9231,32.2015,0.7370,0.0204,0.9259,33.8076,0.7330,0.0185,0.9333,34.6416,0.7560,0.0186,0.9300,34.6091,0.7552,0.0236,0.9161,32.5345,0.6727,0.0061,0.9912,44.3432,0.9391,0.0243,0.8739,32.2938,0.6107
136,71.24,0.0245,0.9232,32.2301,0.7375,0.0204,0.9259,33.8109,0.7329,0.0186,0.9332,34.6321,0.7559,0.0186,0.9299,34.6064,0.7550,0.0236,0.9160,32.5240,0.6725,0.0080,0.9894,41.9450,0.9081,0.0241,0.8744,32.3711,0.6071
137,71.76,0.0244,0.9233,32.2589,0.7380,0.0204,0.9259,33.8134,0.7328,0.0186,0.9331,34.6221,0.7557,0.0186,0.9299,34.6037,0.7549,0.0237,0.9159,32.5125,0.6722,0.0076,0.9870,42.3952,0.9108,0.0240,0.8761,32.3910,0.6075
138,72.29,0.0243,0.9235,32.2880,0.7384,0.0204,0.9259,33.8141,0.7326,0.0186,0.9330,34.6119,0.7555,0.0186,0.9298,34.6011,0.7547,0.0237,0.9157,32.5000,0.6720,0.0065,0.9913,43.7931,0.9313,0.0244,0.8732,32.2582,0.6045
139,72.81,0.0242,0.9236,32.3172,0.7389,0.0204,0.9258,33.8127,0.7325,0.0186,0.9330,34.6014,0.7554,0.0186,0.9298,34.5987,0.7546,0.0237,0.9155,32.4873,0.6717,0.0092,0.9863,40.7495,0.8951,0.0244,0.8692,32.2592,0.5929
140,73.33,0.0241,0.9237,32.3466,0.7393,0.0204,0.9258,33.8092,0.7323,0.0186,0.9329,34.5909,0.7552,0.0186,0.9298,34.5966,0.7545,0.0238,0.9154,32.4743,0.6715,0.0058,0.9903,44.6796,0.9339,0.0242,0.8739,32.3222,0.6051
141,73.85,0.0241,0.9238,32.3763,0.7397,0.0204,0.9257,33.8040,0.7321,0.0187,0.9328,34.5804,0.7551,0.0186,0.9297,34.5949,0.7545,0.0238,0.9152,32.4612,0.6713,0.0082,0.9888,41.6965,0.9093,0.0243,0.8715,32.2814,0.6030
142,74.37,0.0240,0.9240,32.4061,0.7401,0.0204,0.9256,33.7974,0.7319,0.0187,0.9328,34.5700,0.7549,0.0186,0.9297,34.5935,0.7545,0.0239,0.9150,32.4476,0.6711,0.0088,0.9861,41.1176,0.9018,0.0242,0.8716,32.3378,0.5955
143,74.90,0.0239,0.9241,32.4361,0.7405,0.0204,0.9255,33.7902,0.7317,0.0187,0.9327,34.5599,0.7548,0.0186,0.9297,34.5925,0.7545,0.0239,0.9149,32.4343,0.6709,0.0056,0.9918,45.1051,0.9397,0.0241,0.8745,32.3587,0.6082
144,75.42,0.0238,0.9242,32.4663,0.7408,0.0205,0.9255,33.7827,0.7315,0.0187,0.9326,34.5501,0.7547,0.0186,0.9296,34.5917,0.7546,0.0239,0.9147,32.4209,0.6706,0.0098,0.9849,40.2048,0.8905,0.0243,0.8728,32.2987,0.6061
145,75.94,0.0237,0.9243,32.4967,0.7412,0.0205,0.9254,33.7756,0.7314,0.0187,0.9326,34.5406,0.7547,0.0186,0.9296,34.5910,0.7546,0.0240,0.9145,32.4073,0.6704,0.0070,0.9894,43.0749,0.9236,0.0241,0.8730,32.3631,0.5961
146,76.46,0.0236,0.9244,32.5272,0.7415,0.0205,0.9253,33.7691,0.7312,0.0188,0.9325,34.5315,0.7546,0.0186,0.9296,34.5901,0.7547,0.0240,0.9144,32.3942,0.6701,0.0072,0.9903,42.8362,0.9200,0.0242,0.8734,32.3266,0.6016
147,76.98,0.0236,0.9246,32.5579,0.7419,0.0205,0.9253,33.7633,0.7311,0.0188,0.9324,34.5229,0.7545,0.0186,0.9295,34.5890,0.7547,0.0240,0.9142,32.3817,0.6699,0.0098,0.9838,40.1332,0.8868,0.0246,0.8674,32.1883,0.5943
148,77.51,0.0235,0.9247,32.5888,0.7423,0.0205,0.9252,33.7584,0.7310,0.0188,0.9324,34.5149,0.7545,0.0186,0.9295,34.5874,0.7547,0.0241,0.9141,32.3692,0.6697,0.0054,0.9925,45.3452,0.9465,0.0242,0.8712,32.3121,0.6043
149,78.03,0.0234,0.9248,32.6198,0.7427,0.0205,0.9252,33.7542,0.7309,0.0188,0.9323,34.5074,0.7544,0.0187,0.9295,34.5853,0.7547,0.0241,0.9139,32.3581,0.6695,0.0094,0.9857,40.5008,0.8860,0.0240,0.8746,32.4037,0.6135
150,78.55,0.0233,0.9249,32.6509,0.7431,0.0205,0.9251,33.7507,0.7307,0.0188,0.9323,34.5004,0.7544,0.0187,0.9294,34.5826,0.7547,0.0241,0.9138,32.3472,0.6693,0.0085,0.9864,41.3873,0.8978,0.0243,0.8713,32.2756,0.6000
151,79.07,0.0232,0.9250,32.6822,0.7435,0.0205,0.9251,33.7476,0.7306,0.0188,0.9322,34.4941,0.7544,0.0187,0.9294,34.5793,0.7546,0.0242,0.9137,32.3371,0.6691,0.0068,0.9920,43.3974,0.9397,0.0244,0.8697,32.2664,0.5993
152,79.59,0.0231,0.9251,32.7136,0.7439,0.0205,0.9250,33.7450,0.7305,0.0189,0.9322,34.4883,0.7543,0.0187,0.9294,34.5753,0.7545,0.0242,0.9135,32.3275,0.6689,0.0084,0.9872,41.4664,0.8936,0.0241,0.8714,32.3727,0.5979
153,80.11,0.0231,0.9252,32.7452,0.7443,0.0206,0.9250,33.7428,0.7303,0.0189,0.9322,34.4830,0.7543,0.0187,0.9293,34.5709,0.7544,0.0242,0.9134,32.3193,0.6687,0.0074,0.9895,42.6170,0.9126,0.0244,0.8691,32.2483,0.5910
154,80.64,0.0230,0.9253,32.7769,0.7447,0.0206,0.9249,33.7409,0.7302,0.0189,0.9321,34.4781,0.7543,0.0187,0.9293,34.5660,0.7542,0.0242,0.9134,32.3118,0.6686,0.0101,0.9869,39.8799,0.9047,0.0244,0.8701,32.2580,0.5920
155,81.16,0.0229,0.9254,32.8087,0.7450,0.0206,0.9249,33.7392,0.7301,0.0189,0.9321,34.4735,0.7543,0.0187,0.9292,34.5610,0.7541,0.0243,0.9133,32.3048,0.6684,0.0076,0.9890,42.3269,0.9053,0.0244,0.8713,32.2442,0.5968
156,81.68,0.0228,0.9256,32.8406,0.7454,0.0206,0.9248,33.7375,0.7299,0.0189,0.9320,34.4691,0.7543,0.0187,0.9292,34.5558,0.7539,0.0243,0.9132,32.2991,0.6683,0.0092,0.9885,40.6847,0.9088,0.0245,0.8697,32.2299,0.5972
157,82.20,0.0227,0.9257,32.8725,0.7458,0.0206,0.9247,33.7358,0.7298,0.0189,0.9320,34.4648,0.7544,0.0187,0.9291,34.5509,0.7538,0.0243,0.9132,32.2941,0.6682,0.0125,0.9808,38.0945,0.8706,0.0242,0.8727,32.3300,0.6041
158,82.72,0.0226,0.9258,32.9046,0.7462,0.0206,0.9247,33.7337,0.7297,0.0189,0.9320,34.4604,0.7544,0.0187,0.9291,34.5464,0.7537,0.0243,0.9131,32.2899,0.6681,0.0077,0.9887,42.2397,0.9070,0.0244,0.8726,32.2540,0.5967
159,83.25,0.0226,0.9259,32.9368,0.7467,0.0206,0.9246,33.7312,0.7296,0.0189,0.9319,34.4559,0.7545,0.0187,0.9290,34.5423,0.7536,0.0243,0.9131,32.2862,0.6680,0.0129,0.9844,37.7662,0.8944,0.0248,0.8668,32.1281,0.5858
160,83.77,0.0225,0.9260,32.9691,0.7470,0.0206,0.9245,33.7283,0.7295,0.0189,0.9319,34.4511,0.7545,0.0188,0.9290,34.5390,0.7535,0.0243,0.9130,32.2834,0.6679,0.0092,0.9867,40.7623,0.8935,0.0245,0.8698,32.2298,0.5982
161,84.29,0.0224,0.9261,33.0014,0.7474,0.0206,0.9245,33.7248,0.7294,0.0190,0.9319,34.4461,0.7546,0.0188,0.9290,34.5362,0.7535,0.0243,0.9130,32.2811,0.6679,0.0073,0.9887,42.6785,0.9131,0.0244,0.8712,32.2504,0.6032
162,84.81,0.0223,0.9262,33.0337,0.7477,0.0206,0.9245,33.7209,0.7294,0.0190,0.9318,34.4406,0.7546,0.0188,0.9289,34.5342,0.7535,0.0243,0.9130,32.2795,0.6678,0.0163,0.9785,35.7808,0.8715,0.0242,0.8728,32.3083,0.6032
163,85.33,0.0222,0.9263,33.0662,0.7481,0.0206,0.9244,33.7166,0.7293,0.0190,0.9318,34.4346,0.7546,0.0188,0.9289,34.5326,0.7535,0.0243,0.9130,32.2784,0.6678,0.0070,0.9904,43.0529,0.9116,0.0243,0.8736,32.2831,0.6028
164,85.86,0.0221,0.9264,33.0987,0.7484,0.0206,0.9244,33.7123,0.7293,0.0190,0.9317,34.4281,0.7547,0.0188,0.9289,34.5314,0.7536,0.0243,0.9130,32.2773,0.6678,0.0068,0.9889,43.3538,0.9222,0.0241,0.8746,32.3638,0.6080
165,86.38,0.0221,0.9265,33.1312,0.7488,0.0206,0.9244,33.7080,0.7292,0.0190,0.9317,34.4210,0.7547,0.0188,0.9289,34.5304,0.7536,0.0243,0.9130,32.2764,0.6677,0.0139,0.9809,37.1142,0.8812,0.0241,0.8736,32.3629,0.6032
166,86.90,0.0220,0.9265,33.1637,0.7491,0.0206,0.9244,33.7038,0.7291,0.0190,0.9316,34.4134,0.7547,0.0188,0.9288,34.5294,0.7537,0.0243,0.9130,32.2761,0.6677,0.0064,0.9912,43.9100,0.9213,0.0242,0.8741,32.3082,0.6002
167,87.42,0.0219,0.9266,33.1963,0.7494,0.0207,0.9244,33.7000,0.7291,0.0190,0.9316,34.4053,0.7547,0.0188,0.9288,34.5282,0.7537,0.0243,0.9130,32.2753,0.6677,0.0080,0.9867,41.9214,0.9179,0.0243,0.8727,32.2952,0.5962
168,87.94,0.0218,0.9267,33.2289,0.7497,0.0207,0.9244,33.6964,0.7290,0.0191,0.9315,34.3968,0.7546,0.0188,0.9288,34.5266,0.7538,0.0243,0.9130,32.2750,0.6677,0.0080,0.9888,41.8849,0.9211,0.0243,0.8738,32.2976,0.6046
169,88.47,0.0217,0.9268,33.2614,0.7500,0.0207,0.9244,33.6932,0.7289,0.0191,0.9315,34.3879,0.7546,0.0188,0.9288,34.5245,0.7538,0.0243,0.9130,32.2741,0.6677,0.0060,0.9914,44.4896,0.9289,0.0242,0.8745,32.3376,0.6047
170,88.99,0.0216,0.9269,33.2940,0.7503,0.0207,0.9243,33.6901,0.7288,0.0191,0.9314,34.3788,0.7545,0.0188,0.9287,34.5218,0.7539,0.0243,0.9130,32.2736,0.6677,0.0114,0.9814,38.8493,0.8917,0.0241,0.8744,32.3662,0.5979
171,89.51,0.0216,0.9270,33.3266,0.7506,0.0207,0.9243,33.6871,0.7287,0.0191,0.9313,34.3697,0.7543,0.0188,0.9287,34.5186,0.7539,0.0243,0.9130,32.2726,0.6677,0.0052,0.9920,45.6247,0.9377,0.0242,0.8757,32.3308,0.6036
172,90.03,0.0215,0.9271,33.3591,0.7508,0.0207,0.9242,33.6843,0.7285,0.0191,0.9313,34.3606,0.7542,0.0188,0.9287,34.5149,0.7539,0.0243,0.9130,32.2715,0.6677,0.0058,0.9911,44.6758,0.9333,0.0243,0.8719,32.3036,0.5941
