frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
19,10.18,0.0231,0.8831,32.7265,0.5972,0.0295,0.8802,30.5934,0.5201,0.0130,0.9404,37.7042,0.7479,0.0167,0.9335,35.5338,0.7625,0.0127,0.9465,37.9208,0.7386,0.0078,0.9753,42.1865,0.8691,0.0089,0.9564,41.0318,0.8400
20,10.70,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5877,0.5200,0.0130,0.9404,37.7093,0.7479,0.0167,0.9335,35.5401,0.7624,0.0127,0.9466,37.9284,0.7385,0.0072,0.9776,42.8276,0.8734,0.0088,0.9574,41.1017,0.8442
21,11.22,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5831,0.5199,0.0130,0.9404,37.7122,0.7479,0.0167,0.9334,35.5424,0.7623,0.0127,0.9466,37.9361,0.7385,0.0056,0.9829,45.1116,0.9083,0.0087,0.9585,41.1831,0.8486
22,11.74,0.0231,0.8831,32.7265,0.5972,0.0296,0.8801,30.5805,0.5199,0.0130,0.9405,37.7125,0.7479,0.0167,0.9334,35.5419,0.7623,0.0127,0.9466,37.9436,0.7385,0.0079,0.9745,42.0374,0.8596,0.0088,0.9581,41.1386,0.8432
23,12.27,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5806,0.5199,0.0130,0.9404,37.7101,0.7478,0.0167,0.9333,35.5403,0.7622,0.0127,0.9465,37.9513,0.7385,0.0063,0.9816,44.0470,0.8943,0.0087,0.9585,41.1839,0.8469
24,12.79,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5836,0.5200,0.0130,0.9404,37.7055,0.7476,0.0167,0.9333,35.5396,0.7621,0.0126,0.9465,37.9587,0.7386,0.0055,0.9836,45.2097,0.9173,0.0088,0.9581,41.1563,0.8479
25,13.31,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5885,0.5201,0.0130,0.9404,37.7001,0.7474,0.0167,0.9333,35.5418,0.7619,0.0126,0.9465,37.9652,0.7386,0.0077,0.9753,42.2905,0.8635,0.0087,0.9585,41.2181,0.8455
26,13.83,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.5929,0.5202,0.0130,0.9404,37.6959,0.7472,0.0167,0.9333,35.5481,0.7616,0.0126,0.9464,37.9715,0.7385,0.0057,0.9838,44.9370,0.9096,0.0087,0.9589,41.1991,0.8467
27,14.35,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.5934,0.5201,0.0130,0.9403,37.6949,0.7471,0.0167,0.9334,35.5583,0.7613,0.0126,0.9464,37.9762,0.7384,0.0062,0.9809,44.1756,0.9098,0.0087,0.9589,41.2072,0.8471
28,14.87,0.0231,0.8831,32.7265,0.5972,0.0296,0.8802,30.5861,0.5198,0.0130,0.9403,37.6976,0.7472,0.0167,0.9335,35.5703,0.7611,0.0126,0.9462,37.9790,0.7382,0.0072,0.9768,42.8189,0.8750,0.0087,0.9586,41.1696,0.8495
